scenario_id,error_best_genome
week-v1-pres,0.23171001618603543
week-v1-pres-real-hourly,0.40597500570778416
week-severe-respiratory,0.1314921779091574
week-tight-budget,0.22879841133183126
week-high-demand,0.22926954822038909
