scenario_id,base_arrival_rate_per_hour,queue_threshold,wait_threshold_hours,p_respiratory,p_cardio,p_trauma,p_psych,p_generic,arrival_profile_type,daily_budget_cap,arr_share_h00,arr_share_h01,arr_share_h02,arr_share_h03,arr_share_h04,arr_share_h05,arr_share_h06,arr_share_h07,arr_share_h08,arr_share_h09,arr_share_h10,arr_share_h11,arr_share_h12,arr_share_h13,arr_share_h14,arr_share_h15,arr_share_h16,arr_share_h17,arr_share_h18,arr_share_h19,arr_share_h20,arr_share_h21,arr_share_h22,arr_share_h23,evt1_present,evt1_start_hour,evt1_duration,evt1_arrival_multiplier,evt1_mult_respiratory,evt1_mult_cardio,evt1_mult_trauma,evt1_mult_psych,evt1_mult_generic,evt2_present,evt2_start_hour,evt2_duration,evt2_arrival_multiplier,evt2_mult_respiratory,evt2_mult_cardio,evt2_mult_trauma,evt2_mult_psych,evt2_mult_generic,evt3_present,evt3_start_hour,evt3_duration,evt3_arrival_multiplier,evt3_mult_respiratory,evt3_mult_cardio,evt3_mult_trauma,evt3_mult_psych,evt3_mult_generic,evt4_present,evt4_start_hour,evt4_duration,evt4_arrival_multiplier,evt4_mult_respiratory,evt4_mult_cardio,evt4_mult_trauma,evt4_mult_psych,evt4_mult_generic,evt5_present,evt5_start_hour,evt5_duration,evt5_arrival_multiplier,evt5_mult_respiratory,evt5_mult_cardio,evt5_mult_trauma,evt5_mult_psych,evt5_mult_generic,evt6_present,evt6_start_hour,evt6_duration,evt6_arrival_multiplier,evt6_mult_respiratory,evt6_mult_cardio,evt6_mult_trauma,evt6_mult_psych,evt6_mult_generic,ga_selection,ga_seed,ga_replications,ga_population_size,ga_generations,mean_error_best,best_rt,best_cardio,best_radio,best_mh,best_physician,best_pa,best_nurse
ds-0024-flat,17.46935441,17,1.78352086,0.40176465,0.12596097,0.22201819,0.11120038,0.13905581,flat,59900.09721345,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,365,5,16,8,0.09566938,10,1,4,9,1,4,3
ds-0025-flat,28.77403619,18,1.40042070,0.31903268,0.23563466,0.02323269,0.21399267,0.20810730,flat,123615.01227251,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,366,5,16,8,0.10415527,10,6,4,7,4,10,13
ds-0026-flat,30.85168604,12,1.86426830,0.34061993,0.10367486,0.20205704,0.18578239,0.16786578,flat,115850.68613818,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,1,148.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,1,38.0,21.0,1.0,1.0,1.6,1.0,1.0,1.0,1,124.0,9.0,1.08,1.2,1.0,2.6,1.0,1.0,1,92.0,19.0,1.0,1.0,1.0,1.0,2.2,1.0,1,138.0,13.0,1.12,4.5,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,367,5,16,8,0.08983551,16,6,7,14,1,4,8
ds-0027-flat,23.89433664,16,1.39388191,0.28662723,0.22615299,0.09481036,0.17953580,0.21287362,flat,126618.21973151,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,1,120.0,17.0,1.0,2.0,1.0,1.0,1.0,1.0,1,12.0,7.0,1.0,1.0,1.6,1.0,1.0,1.0,1,6.0,10.0,1.08,1.2,1.0,2.6,1.0,1.0,1,89.0,23.0,1.0,1.0,1.0,1.0,2.2,1.0,1,57.0,11.0,1.12,4.5,1.0,1.0,1.0,1.0,1,77.0,7.0,1.0,1.0,1.2,1.0,1.0,1.4,lexicase,368,5,16,8,0.09985305,17,5,6,8,4,5,12
ds-0028-real,22.70858132,13,1.50732615,0.21706742,0.08481003,0.17698626,0.26245254,0.25868375,real_hourly,119963.13638438,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00040490,0.09044571,0.16599932,0.13612717,0.13393665,0.03934916,0.01261769,0.08095896,0.06166576,0.03758402,0.00593008,0.10590733,0.05150513,0.05149065,0.01628937,0.00847783,0.00131028,1,95.0,13.0,1.0,2.0,1.0,1.0,1.0,1.0,1,104.0,21.0,1.0,1.0,1.6,1.0,1.0,1.0,1,22.0,29.0,1.08,1.2,1.0,2.6,1.0,1.0,1,4.0,24.0,1.0,1.0,1.0,1.0,2.2,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,369,5,16,8,0.11068600,8,4,6,12,6,5,3
ds-0029-flat,26.57594502,11,1.90390281,0.27308308,0.18914455,0.28719146,0.04468437,0.20589653,flat,127171.77673244,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,1,120.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1,98.0,34.0,1.0,1.0,1.6,1.0,1.0,1.0,1,93.0,30.0,1.08,1.2,1.0,2.6,1.0,1.0,1,130.0,19.0,1.0,1.0,1.0,1.0,2.2,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,370,5,16,8,0.09903245,9,6,8,17,3,5,6
ds-0030-real,25.61861340,16,0.90595282,0.08537528,0.32369072,0.07564469,0.12956845,0.38572086,real_hourly,117228.81366811,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00041075,0.08545227,0.12793071,0.14531892,0.11074590,0.05677423,0.01182861,0.12239459,0.05538342,0.04976365,0.00526878,0.09138966,0.07773191,0.03504996,0.01506053,0.00861960,0.00087650,1,24.0,27.0,1.0,2.0,1.0,1.0,1.0,1.0,1,90.0,14.0,1.0,1.0,1.6,1.0,1.0,1.0,1,77.0,8.0,1.08,1.2,1.0,2.6,1.0,1.0,1,48.0,7.0,1.0,1.0,1.0,1.0,2.2,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,371,5,16,8,0.15887772,3,9,2,7,2,17,7
ds-0011-real,17.16560446,15,2.04443221,0.20950583,0.22767181,0.18482396,0.17564166,0.20235673,real_hourly,117279.20234400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00045579,0.10758719,0.16431965,0.11918733,0.13841173,0.05975585,0.01662270,0.08133967,0.05432788,0.04226120,0.00852503,0.06147062,0.07414780,0.04646687,0.01464637,0.00921496,0.00125937,1,133.0,14.0,1.0,2.0,1.0,1.0,1.0,1.0,1,91.0,11.0,1.0,1.0,1.6,1.0,1.0,1.0,1,19.0,30.0,1.08,1.2,1.0,2.6,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,152,5,16,8,0.10280047,7,4,7,9,4,9,4
ds-0012-flat,11.76734710,12,0.96603691,0.22166426,0.31002432,0.20278532,0.09239345,0.17313265,flat,110710.26919775,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,1,130.0,19.0,1.0,2.0,1.0,1.0,1.0,1.0,1,87.0,18.0,1.0,1.0,1.6,1.0,1.0,1.0,1,97.0,34.0,1.08,1.2,1.0,2.6,1.0,1.0,1,56.0,36.0,1.0,1.0,1.0,1.0,2.2,1.0,1,95.0,18.0,1.12,4.5,1.0,1.0,1.0,1.0,1,79.0,16.0,1.0,1.0,1.2,1.0,1.0,1.4,lexicase,153,5,16,8,0.08840475,6,6,3,7,1,13,21
ds-0013-real,34.21608408,16,1.79855898,0.10121548,0.02981228,0.40105157,0.06692785,0.40099281,real_hourly,117063.66274339,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00027761,0.10890529,0.16340212,0.13898778,0.11510306,0.05282505,0.01051522,0.11634760,0.05080061,0.03247269,0.00486937,0.06094728,0.07485062,0.04748891,0.01335940,0.00783083,0.00101655,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,154,5,16,8,0.17976011,10,1,10,8,1,3,30
ds-0014-real,22.81731963,14,1.20662188,0.14353560,0.23858082,0.02511961,0.25757117,0.33519280,real_hourly,54411.57789686,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00037317,0.12402405,0.15335337,0.12277333,0.12026649,0.04242681,0.01483208,0.07576718,0.06039164,0.04094534,0.00466093,0.09797351,0.07619056,0.04738998,0.01251740,0.00516711,0.00094705,1,120.0,11.0,1.0,2.0,1.0,1.0,1.0,1.0,1,103.0,19.0,1.0,1.0,1.6,1.0,1.0,1.0,1,110.0,18.0,1.08,1.2,1.0,2.6,1.0,1.0,1,77.0,28.0,1.0,1.0,1.0,1.0,2.2,1.0,1,112.0,26.0,1.12,4.5,1.0,1.0,1.0,1.0,1,38.0,18.0,1.0,1.0,1.2,1.0,1.0,1.4,lexicase,155,5,16,8,0.15832409,5,3,0,5,1,4,16
ds-0015-flat,15.17237851,16,1.42451120,0.30261813,0.24445707,0.22769704,0.18184893,0.04337883,flat,58291.42459140,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,1,16.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,1,132.0,14.0,1.0,1.0,1.6,1.0,1.0,1.0,1,96.0,8.0,1.08,1.2,1.0,2.6,1.0,1.0,1,58.0,13.0,1.0,1.0,1.0,1.0,2.2,1.0,1,124.0,27.0,1.12,4.5,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,156,5,16,8,0.06111961,6,4,3,2,1,3,3
